codi;lat;long;cientific_name;catalan_name;geom;district
0000024AR;41.4372502;2.1652948;Populus nigra22 'Italica';Pollancre gavatx;POINT (430265.669623264 4587634.01248087);NOU BARRIS
0000027AR;41.4373184;2.16541;Populus nigra 'Italica';Pollancre gavatx;POINT (430275.370695029 4587641.48841885);NOU BARRIS
0000029AR;41.4373646;2.1654937;Populus nigra 'Italica';Pollancre gavatx;POINT (430282.40974435 4587646.55037329);NOU BARRIS
0000030AR;41.4373796;2.1655205;Populus nigra 'Italica';Pollancre gavatx;POINT (430284.668760349 4587648.1973587);NOU BARRIS
0000031AR;41.4373963;2.1655516;Populus nigra 'Italica';Pollancre gavatx;POINT (430287.287778272 4587650.02434166);NOU BARRIS
0000032AR;41.437412;2.1655838;Populus nigra 'Italica';Pollancre gavatx;POINT (430289.987795478 4587651.74032384);NOU BARRIS
0000033AR;41.4375329;2.1658555;Quercus ilex;Alzina;POINT (430312.82193105 4587664.94217105);NOU BARRIS
0000035AR;41.4375915;2.1659228;Quercus ilex;Alzina;POINT (430318.50798885 4587671.39813792);NOU BARRIS
0000037AR;41.437609;2.1659719;Quercus ilex;Alzina;POINT (430322.623009631 4587673.29610964);NOU BARRIS
0000038AR;41.4375446;2.1660464;Quercus ilex;Alzina;POINT (430328.782964498 4587666.08905173);NOU BARRIS
0000040AR;41.4373958;2.165629;Tipuana tipu;Tipuana;POINT (430293.752787407 4587649.90729243);NOU BARRIS
0000041AR;41.4373517;2.165851;Populus alba 'Pyramidalis';Àlber boleana;POINT (430312.251777588 4587644.8331442);NOU BARRIS
0000043AR;41.437359;2.1655828;Tipuana tipu;Tipuana;POINT (430289.848750595 4587645.85331577);NOU BARRIS
0000044AR;41.4373015;2.165719;Populus alba 'Pyramidalis';Àlber boleana;POINT (430301.164718933 4587639.36821985);NOU BARRIS
0000045AR;41.4372855;2.1659007;Populus alba 'Pyramidalis';Àlber boleana;POINT (430316.331727819 4587637.44010178);NOU BARRIS
0000046AR;41.4373153;2.1654831;Populus alba 'Pyramidalis';Àlber boleana;POINT (430281.472701416 4587641.08337192);NOU BARRIS
0000047AR;41.4372837;2.1654898;Tipuana tipu;Tipuana;POINT (430281.997675567 4587637.56936249);NOU BARRIS
0000048AR;41.4372906;2.1654493;Populus alba 'Pyramidalis';Àlber boleana;POINT (430278.623676376 4587638.36538933);NOU BARRIS
0000049AR;41.4372812;2.165415;Populus alba 'Pyramidalis';Àlber boleana;POINT (430275.748664263 4587637.35640958);NOU BARRIS
0000050AR;41.4372501;2.1659052;Tipuana tipu;Tipuana;POINT (430316.666698451 4587633.50109313);NOU BARRIS
0000051AR;41.4372269;2.1659333;Populus alba 'Pyramidalis';Àlber boleana;POINT (430318.993682377 4587630.90707146);NOU BARRIS
0000052AR;41.4371989;2.1659492;Tipuana tipu;Tipuana;POINT (430320.289660698 4587627.78505678);NOU BARRIS
0000053AR;41.4371544;2.1659848;Populus alba 'Pyramidalis';Àlber boleana;POINT (430323.219627523 4587622.81402684);NOU BARRIS
0000054AR;41.4371588;2.1659323;Tipuana tipu;Tipuana;POINT (430318.835624816 4587623.35306094);NOU BARRIS
0000056AR;41.4372093;2.165389;Tipuana tipu;Tipuana;POINT (430273.500600343 4587629.39141429);NOU BARRIS
0000058AR;41.4371556;2.1653393;Tipuana tipu;Tipuana;POINT (430269.292548886 4587623.46943703);NOU BARRIS
0000059AR;41.4370903;2.1658415;Tipuana tipu;Tipuana;POINT (430311.178555803 4587615.82210737);NOU BARRIS
0000060AR;41.437078;2.1659002;Populus alba 'Pyramidalis';Àlber boleana;POINT (430316.065552597 4587614.40106808);NOU BARRIS
0000061AR;41.437069;2.1660102;Tipuana tipu;Tipuana;POINT (430325.251558569 4587613.31099669);NOU BARRIS
0000062AR;41.4370456;2.1660507;Populus alba 'Pyramidalis';Àlber boleana;POINT (430328.605543851 4587610.68596717);NOU BARRIS
0000063AR;41.4370159;2.1660801;Tipuana tipu;Tipuana;POINT (430331.02752237 4587607.35994364);NOU BARRIS
0000064AR;41.4370221;2.1660206;Populus alba 'Pyramidalis';Àlber boleana;POINT (430326.066520339 4587608.10598244);NOU BARRIS
0000065AR;41.4371191;2.1653623;Tipuana tipu;Tipuana;POINT (430271.175520946 4587619.40241644);NOU BARRIS
0000066AR;41.4371143;2.1653172;Tipuana tipu;Tipuana;POINT (430267.400511292 4587618.90144431);NOU BARRIS
0000067AR;41.437125;2.1652153;Tipuana tipu;Tipuana;POINT (430258.898507755 4587620.17251079);NOU BARRIS
0000068AR;41.4370997;2.1652007;Populus alba 'Pyramidalis';Àlber boleana;POINT (430257.651484584 4587617.37351591);NOU BARRIS
0000069AR;41.437078;2.1651607;Populus alba 'Pyramidalis';Àlber boleana;POINT (430254.286461392 4587615.00453777);NOU BARRIS
0000070AR;41.4370501;2.1651238;Tipuana tipu;Tipuana;POINT (430251.169433243 4587611.93155665);NOU BARRIS
0000071AR;41.4370433;2.1651717;Populus alba 'Pyramidalis';Àlber boleana;POINT (430255.169433458 4587611.14252508);NOU BARRIS
0000072AR;41.4369968;2.165957;Tipuana tipu;Tipuana;POINT (430320.723491053 4587605.33801869);NOU BARRIS
0000073AR;41.4369815;2.1659964;Tipuana tipu;Tipuana;POINT (430323.997483018 4587603.60999117);NOU BARRIS
0000074AR;41.4369747;2.1660931;Populus alba 'Pyramidalis';Àlber boleana;POINT (430332.073489211 4587602.7759286);NOU BARRIS
0000075AR;41.4369535;2.1661272;Tipuana tipu;Tipuana;POINT (430334.901475582 4587600.40190346);NOU BARRIS
0000076AR;41.4368873;2.1661677;Tipuana tipu;Tipuana;POINT (430338.209424639 4587593.0118669);NOU BARRIS
0000077AR;41.4369021;2.1660774;Tipuana tipu;Tipuana;POINT (430330.685426047 4587594.73492666);NOU BARRIS
0000078AR;41.4370058;2.1651811;Tipuana tipu;Tipuana;POINT (430255.916402908 4587606.96351293);NOU BARRIS
0000079AR;41.4370237;2.1650915;Populus alba 'Pyramidalis';Àlber boleana;POINT (430248.444407015 4587609.03157283);NOU BARRIS
0000080AR;41.4369874;2.1650524;Tipuana tipu;Tipuana;POINT (430245.137371507 4587605.02759172);NOU BARRIS
0000081AR;41.4368815;2.1650099;Tipuana tipu;Tipuana;POINT (430241.479276887 4587593.3046013);NOU BARRIS
0000082AR;41.4368561;2.1650828;Tipuana tipu;Tipuana;POINT (430247.542264412 4587590.42155082);NOU BARRIS
0000083AR;41.4369007;2.1651762;Tipuana tipu;Tipuana;POINT (430255.393313596 4587595.29949882);NOU BARRIS
0000084AR;41.4369174;2.1652187;Tipuana tipu;Tipuana;POINT (430258.956332982 4587597.12647462);NOU BARRIS
