codi;lat;long;cientific_name;catalan_name
0000024AR;41.4372502;2.1652948;Populus nigra 'Italica';Pollancre gavatx
0000033AR;41.4375329;2.1658555;Quercus ilex;Alzina
0000040AR;41.4373958;2.1656290;Tipuana tipu;Tipuana
0000045AR;41.4372855;2.1659007;Populus alba 'Pyramidalis';Àlber boleana
0000052AR;41.4371989;2.1659492;Tipuana tipu;Tipuana
0000058AR;41.4371556;2.1653393;Tipuana tipu;Tipuana
0000063AR;41.4370159;2.1660801;Tipuana tipu;Tipuana
0000067AR;41.4371250;2.1652153;Tipuana tipu;Tipuana
0000074AR;41.4369747;2.1660931;Populus alba 'Pyramidalis';Àlber boleana
0000081AR;41.4368815;2.1650099;Tipuana tipu;Tipuana
0000086AR;41.4368517;2.1653217;Tipuana tipu;Tipuana
0000089AR;41.4367974;2.1655729;Cupressus sempervirens;Xiprer
0000096AR;41.4367442;2.1662775;Tipuana tipu;Tipuana
0000099AR;41.4366048;2.1661132;Olea europaea;Olivera
0000102AR;41.4363902;2.1649714;Tamarix africana;Tamariu
0000109AR;41.4362869;2.1649293;Pinus halepensis;Pi blanc
0000114AR;41.4361698;2.1651746;Pinus halepensis;Pi blanc
0000118AR;41.4363810;2.1658102;Tipuana tipu;Tipuana
0000124AR;41.4363516;2.1661457;Tipuana tipu;Tipuana
0000129AR;41.4374433;2.1661020;Quercus ilex;Alzina
0000135AR;41.4374091;2.1663594;Quercus ilex;Alzina
0000141AR;41.4372311;2.1662898;Quercus ilex;Alzina
0000147AR;41.4371934;2.1664538;Quercus ilex;Alzina
0000150AR;41.4371113;2.1661431;Tipuana tipu;Tipuana
0000153AR;41.4370209;2.1664633;Magnolia grandiflora;Magnòlia
0000155AR;41.4373591;2.1666639;Populus nigra 'Italica';Pollancre gavatx
0000159AR;41.4373701;2.1668118;Populus nigra 'Italica';Pollancre gavatx
0000160AR;41.4372719;2.1666500;Tipuana tipu;Tipuana
0000078AR;41.4370058;2.1651811;Tipuana tipu;Tipuana
0000059AR;41.4370903;2.1658415;Tipuana tipu;Tipuana
