dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat;Unitat
2024-03-08T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.53;56.4;2.11;Litres
2024-03-09T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.64;57.8;2.16;Litres
2024-03-10T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.81;60;2.25;Litres
2024-03-11T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.82;60.1;2.25;Litres
2024-03-12T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.81;60.1;2.25;Litres
2024-03-13T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.81;60;2.25;Litres
2024-03-14T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.81;60;2.24;Litres
2024-03-15T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.81;60;2.24;Litres
2024-03-16T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.8;60;2.24;Litres
2024-03-17T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.8;59.9;2.24;Litres
2024-03-18T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.77;59.6;2.23;Litres
2024-03-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.75;59.2;2.22;Litres
2024-03-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.74;59.1;2.21;Litres
2024-03-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.73;59;2.21;Litres
2024-03-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.73;59;2.21;Litres
2024-03-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.73;59;2.21;Litres
2024-03-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.74;59.1;2.21;Litres
2024-03-25T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.74;59.2;2.21;Litres
2024-03-26T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.82;60.1;2.25;Litres
2024-03-27T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.6;2.27;Litres
2024-03-28T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.85;60.5;2.26;Litres
2024-03-29T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.85;60.5;2.26;Litres
2024-03-30T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.85;60.5;2.26;Litres
2024-03-31T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.97;62.1;2.32;Litres
2024-04-01T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.01;62.5;2.34;Litres
2024-04-02T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98;62.6;2.34;Litres
2024-04-03T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98;62.5;2.34;Litres
2024-04-04T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98;62.5;2.34;Litres
2024-04-05T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.99;62.4;2.33;Litres
2024-04-06T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.99;62.4;2.33;Litres
2024-04-07T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.98;62.3;2.33;Litres
2024-04-08T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.98;62.2;2.33;Litres
2024-04-09T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.95;61.9;2.31;Litres
2024-04-10T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.92;61.5;2.3;Litres
2024-04-11T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.89;61.1;2.28;Litres
2024-04-12T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.88;60.9;2.28;Litres
2024-04-13T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.87;60.8;2.28;Litres
2024-04-14T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.87;60.8;2.27;Litres
2024-04-15T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.85;60.6;2.27;Litres
2024-04-16T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.82;60.2;2.25;Litres
2024-04-17T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.79;59.8;2.24;Litres
2024-04-18T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.79;59.7;2.23;Litres
2024-04-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.76;59.4;2.22;Litres
2024-04-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.75;59.3;2.22;Litres
2024-04-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.75;59.3;2.22;Litres
2024-04-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.8;59.9;2.24;Litres
2024-04-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27;Litres
2024-04-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27;Litres
2024-04-25T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.87;60.7;2.27;Litres
2024-04-26T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27;Litres
2024-04-27T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27;Litres
2024-04-28T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27;Litres
2024-04-29T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.95;61.9;2.31;Litres
2024-04-30T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.21;65.4;2.44;Litres
2024-05-01T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.24;65.7;2.46;Litres
2024-05-02T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.24;65.7;2.46;Litres
2024-05-03T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.23;65.5;2.45;Litres
2024-05-04T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.22;65.4;2.45;Litres
2024-05-05T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.22;65.4;2.44;Litres
