Day;Reservoir of Darnius Boadella (Darnius)_Absolute_level_Sum;Reservoir of la Llosa del Cavall (Nav…s)_Absolute_level_Sum;Reservoir of Siurana (Cornudella de Montsant)_Absolute_level_Sum;Reservoir of Susqueda (Osor)_Absolute_level_Sum;Reservoir of Sau (Vilanova de Sau)_Absolute_level_Sum;Reservoir of Foix (Castellet i la Gornal)_Absolute_level_Sum;Reservoir of la Baells (Cercs)_Absolute_level_Sum;Reservoir of Riudecanyes_Absolute_level_Sum;Reservoir of Sant Pon‡ (Clariana de Cardener)_Absolute_level_Sum
2024-12-31T00:00:00.000;136.33;780.81;460.17;316.23;;;;;
2025-01-01T00:00:00.000;136.32;780.79;460.17;316.13;387.81;100.27;615.62;205.19;519.76
2025-01-02T00:00:00.000;136.32;780.78;460.17;316.04;387.86;100.25;615.58;205.2;519.78
2025-01-03T00:00:00.000;136.31;780.76;460.18;316;387.83;100.23;615.54;205.21;519.81
2025-01-04T00:00:00.000;136.3;780.75;460.18;316.01;387.71;100.22;615.5;205.21;519.83
2025-01-05T00:00:00.000;136.28;780.73;460.18;316.05;387.61;100.22;615.46;205.22;519.86
2025-01-06T00:00:00.000;136.27;780.71;460.18;316.09;387.5;100.21;615.41;205.23;519.89
2025-01-07T00:00:00.000;136.25;780.69;460.18;316.13;387.36;100.19;615.35;205.23;519.91
2025-01-08T00:00:00.000;136.24;780.67;460.18;316.18;387.14;100.16;615.3;205.24;519.94
2025-01-09T00:00:00.000;136.23;780.65;460.18;316.22;386.94;100.15;615.24;205.24;519.96
2025-01-10T00:00:00.000;136.2;780.63;460.18;316.32;386.7;100.14;615.19;205.25;519.99
2025-01-11T00:00:00.000;136.19;780.61;460.17;316.48;386.4;100.13;615.13;205.26;520.01
2025-01-12T00:00:00.000;136.17;780.58;460.17;316.63;386.08;100.13;615.08;205.26;520.03
2025-01-13T00:00:00.000;136.15;780.56;460.16;316.77;385.77;100.12;615.02;205.26;520.05
2025-01-14T00:00:00.000;136.14;780.54;460.15;316.89;385.45;100.11;614.95;205.26;520.05
2025-01-15T00:00:00.000;136.12;780.51;460.15;317.05;385.12;100.1;614.87;205.27;520.06
2025-01-16T00:00:00.000;136.11;780.47;460.14;317.16;384.79;100.1;614.81;205.27;520.06
2025-01-17T00:00:00.000;136.11;780.43;460.14;317.34;384.47;100.09;614.75;205.27;520.06
2025-01-18T00:00:00.000;136.11;780.41;460.13;317.59;384.05;100.08;614.69;205.28;520.06
2025-01-19T00:00:00.000;136.08;780.38;460.13;317.82;383.63;100.07;614.63;205.28;520.06
2025-01-20T00:00:00.000;136.08;780.36;460.13;318.01;383.18;100.07;614.56;205.28;520.07
2025-01-21T00:00:00.000;136.07;780.33;460.12;318.25;382.7;100.04;614.5;205.29;520.07
2025-01-22T00:00:00.000;136.06;780.31;460.12;318.41;382.21;100.02;614.43;205.3;520.07
2025-01-23T00:00:00.000;136.04;780.28;460.12;318.62;381.75;100.01;614.37;205.31;520.07
2025-01-24T00:00:00.000;136.03;780.24;460.11;318.75;381.34;100;614.3;205.31;520.09
2025-01-25T00:00:00.000;136.03;780.2;460.11;318.78;381.15;99.99;614.26;205.31;520.11
2025-01-26T00:00:00.000;136;780.16;460.11;318.84;380.95;99.98;614.21;205.32;520.13
2025-01-27T00:00:00.000;136;780.13;460.11;318.86;380.76;99.98;614.17;205.32;520.15
2025-01-28T00:00:00.000;135.99;780.13;460.1;318.88;380.57;99.97;614.13;205.32;520.18
2025-01-29T00:00:00.000;135.96;780.1;460.09;318.9;380.39;99.97;614.1;205.31;520.2
2025-01-30T00:00:00.000;135.96;780.07;460.09;318.95;380.22;99.96;614.06;205.32;520.22
2025-01-31T00:00:00.000;135.95;780.04;460.09;319;380.02;99.95;614.02;205.32;520.24
2025-02-01T00:00:00.000;135.92;779.99;460.08;319.03;379.82;99.94;613.97;205.32;520.26
2025-02-02T00:00:00.000;135.91;779.95;460.08;319.06;379.61;99.93;613.94;205.33;520.29
2025-02-03T00:00:00.000;135.9;779.91;460.07;319.09;379.39;99.92;613.9;205.33;520.33
2025-02-04T00:00:00.000;135.88;779.86;460.07;319.06;379.2;99.89;613.87;205.33;520.37
2025-02-05T00:00:00.000;135.87;779.81;460.05;319.04;379;99.86;613.84;205.33;520.4
