dia;Embassament de Sant Poná (Clariana de Cardener)_nivell_absolut_Mean;Embassament de la Llosa del Cavall (Naväs)_nivell_absolut_Mean;Embassament de Darnius Boadella (Darnius)_nivell_absolut_Mean;Embassament de Riudecanyes_nivell_absolut_Mean;Embassament de Susqueda (Osor)_nivell_absolut_Mean;Embassament de Sau (Vilanova de Sau)_nivell_absolut_Mean;Embassament de la Baells (Cercs)_nivell_absolut_Mean;Embassament de Siurana (Cornudella de Montsant)_nivell_absolut_Mean;Embassament de Foix (Castellet i la Gornal)_nivell_absolut_Mean
2024-12-17T00:00:00.000;519.33;;;;;;;;
2024-12-18T00:00:00.000;519.38;780.97;136.4;205.07;315.24;389.9;615.98;460.13;100.42
2024-12-19T00:00:00.000;519.42;780.94;136.42;205.09;315.3;389.75;615.99;460.13;100.41
2024-12-20T00:00:00.000;519.46;780.94;136.41;205.1;315.34;389.57;615.98;460.14;100.4
2024-12-21T00:00:00.000;519.48;780.93;136.4;205.11;315.46;389.44;615.97;460.14;100.39
2024-12-22T00:00:00.000;519.51;780.92;136.41;205.12;315.54;389.27;615.95;460.15;100.39
2024-12-23T00:00:00.000;519.54;780.91;136.4;205.12;315.63;389.05;615.93;460.15;100.36
2024-12-24T00:00:00.000;519.56;780.9;136.4;205.13;315.7;388.88;615.9;460.15;100.34
2024-12-25T00:00:00.000;519.58;780.89;136.4;205.14;315.77;388.73;615.88;460.16;100.33
2024-12-26T00:00:00.000;519.61;780.88;136.39;205.15;315.85;388.58;615.84;460.16;100.32
2024-12-27T00:00:00.000;519.63;780.86;136.39;205.16;315.92;388.41;615.81;460.16;100.31
2024-12-28T00:00:00.000;519.66;780.85;136.38;205.16;316.02;388.24;615.77;460.16;100.3
2024-12-29T00:00:00.000;519.68;780.84;136.36;205.17;316.11;388.04;615.73;460.17;100.29
2024-12-30T00:00:00.000;519.71;780.82;136.35;205.18;316.21;387.84;615.7;460.17;100.28
2024-12-31T00:00:00.000;519.73;780.81;136.33;205.18;316.23;387.75;615.66;460.17;100.27
2025-01-01T00:00:00.000;519.76;780.79;136.32;205.19;316.13;387.81;615.62;460.17;100.27
2025-01-02T00:00:00.000;519.78;780.78;136.32;205.2;316.04;387.86;615.58;460.17;100.25
2025-01-03T00:00:00.000;519.81;780.76;136.31;205.21;316;387.83;615.54;460.18;100.23
2025-01-04T00:00:00.000;519.83;780.75;136.3;205.21;316.01;387.71;615.5;460.18;100.22
2025-01-05T00:00:00.000;519.86;780.73;136.28;205.22;316.05;387.61;615.46;460.18;100.22
2025-01-06T00:00:00.000;519.89;780.71;136.27;205.23;316.09;387.5;615.41;460.18;100.21
2025-01-07T00:00:00.000;519.91;780.69;136.25;205.23;316.13;387.36;615.35;460.18;100.19
2025-01-08T00:00:00.000;519.94;780.67;136.24;205.24;316.18;387.14;615.3;460.18;100.16
2025-01-09T00:00:00.000;519.96;780.65;136.23;205.24;316.22;386.94;615.24;460.18;100.15
2025-01-10T00:00:00.000;519.99;780.63;136.2;205.25;316.32;386.7;615.19;460.18;100.14
2025-01-11T00:00:00.000;520.01;780.61;136.19;205.26;316.48;386.4;615.13;460.17;100.13
2025-01-12T00:00:00.000;520.03;780.58;136.17;205.26;316.63;386.08;615.08;460.17;100.13
2025-01-13T00:00:00.000;520.05;780.56;136.15;205.26;316.77;385.77;615.02;460.16;100.12
2025-01-14T00:00:00.000;520.05;780.54;136.14;205.26;316.89;385.45;614.95;460.15;100.11
2025-01-15T00:00:00.000;520.06;780.51;136.12;205.27;317.05;385.12;614.87;460.15;100.1
2025-01-16T00:00:00.000;520.06;780.47;136.11;205.27;317.16;384.79;614.81;460.14;100.1
2025-01-17T00:00:00.000;520.06;780.43;136.11;205.27;317.34;384.47;614.75;460.14;100.09
2025-01-18T00:00:00.000;520.06;780.41;136.11;205.28;317.59;384.05;614.69;460.13;100.08
