phenomenonTime;result;Datastream/unitOfMeasurement/name;Datastream/unitOfMeasurement/symbol;Datastream/unitOfMeasurement/definition;Datastream/ObservedProperty/name;Datastream/ObservedProperty/definition;Datastream/ObservedProperty/description;FeatureOfInterest/description;FeatureOfInterest/feature/type;FeatureOfInterest/feature/coordinates_0;FeatureOfInterest/feature/coordinates_1
2024-04-04T12:04:12Z;20.25;Celsius;C;https://qudt.org/vocab/unit/DEG_C;temp;http://vocabs.lter-europe.net/EnvThes/22035;Air Temperature;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;50.56;Percentage;%;https://qudt.org/vocab/unit/PERCENT;RH;http://vocabs.lter-europe.net/EnvThes/21579;Relative Humidity;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;808;Lumens per square meter;LUX;https://qudt.org/vocab/unit/LUX;light;https://qudt.org/vocab/quantitykind/LuminousExposure;Ambient Light;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;98.63;kiloPascals;kPa;https://qudt.org/vocab/unit/KiloPA;pres;https://vocabs.lter-europe.net/EnvThes/22060;Barometric Pressure;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;52.33;A-weighted decibel;dBA;https://www.eea.europa.eu/help/glossary/eea-glossary/a-weighted-decibel;noise;https://qudt.org/vocab/quantitykind/SoundExposureLevel;Noise Level;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;0;Microgram per cubic meter;ug/m³;https://qudt.org/vocab/unit/MicroGM-PER-M3;PM1;https://www.iqair.com/us/newsroom/pm1;articulate matter with an average aerodynamic diameter of up to 1 micrometers;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;0;Microgram per cubic meter;ug/m³;https://qudt.org/vocab/unit/MicroGM-PER-M3;PM25;https://www.eea.europa.eu/help/glossary/eea-glossary/pm2.5;articulate matter with an average aerodynamic diameter of up to 2.5 micrometers;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:12Z;0;Microgram per cubic meter;µg/m³;https://qudt.org/vocab/unit/MicroGM-PER-M3;PM10;https://www.eea.europa.eu/help/glossary/eea-glossary/pm10;Particulate matter with an average aerodynamic diameter of up to 10 micrometers;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:01Z;20.14;Celsius;C;https://qudt.org/vocab/unit/DEG_C;temp;http://vocabs.lter-europe.net/EnvThes/22035;Air Temperature;Universidad de agronomía de Viena;Point;16.36775;48.246978
2024-04-04T12:04:01Z;51.29;Percentage;%;https://qudt.org/vocab/unit/PERCENT;RH;http://vocabs.lter-europe.net/EnvThes/21579;Relative Humidity;Universidad de agronomía de Viena;Point;16.36775;48.246978
