ID_GRAFIC,Provincia,Estadillo,Poligon,MAPX,MAPY,Parcela
0,17,2,2125567,1.806511291,42.48015,170002
1,17,3,2125100,1.781808117,42.47164982,170003
2,17,4,2100928,1.794463604,42.47143242,170004
3,17,5,2453718,1.745984166,42.46184342,170005
4,17,9,2100928,1.806914752,42.4627551,170009
5,17,10,2453748,1.758323056,42.45354838,170010
6,17,11,2453641,1.807265314,42.45325766,170011
7,17,16,2127626,1.770030165,42.43449231,170016
8,17,17,2100928,1.820260887,42.47164686,170017
9,17,22,2100672,1.856510013,42.46105425,170022
10,17,26,648427,1.954091258,42.39160554,170026
11,17,28,2103578,1.954004292,42.38294105,170028
12,17,34,662881,1.979169558,42.36448057,170034
13,17,37,647737,1.942358257,42.35522197,170037
14,17,40,647695,1.979687744,42.35572238,170040
15,17,46,465203,1.942340943,42.34611678,170046
16,17,47,647266,1.966687411,42.34657295,170047
17,17,50,465206,2.003565966,42.34687237,170050
18,17,53,662249,1.906470965,42.3374047,170053
19,17,57,2103533,1.966986845,42.3371824,170057
20,17,58,662388,1.991330769,42.33835378,170058
21,17,59,662384,2.015616577,42.3378624,170059
22,17,61,2104334,2.100591092,42.3386055,170061
23,17,63,2104483,2.137842135,42.33890066,170063
24,17,65,663522,2.293822388,42.41233975,170065
25,17,68,2457911,2.293840962,42.40309974,170068
26,17,70,2129468,2.318614383,42.4034478,170070
27,17,75,2129468,2.330167365,42.39461798,170075
28,17,80,2491186,2.198198548,42.37518259,170080
29,17,82,2458199,2.318455681,42.37656397,170082
30,17,83,2135191,2.36708857,42.37674369,170083
31,17,84,2134458,2.403781415,42.37694939,170084
32,17,85,2458122,2.282614359,42.36669085,170085
33,17,86,2135050,2.404598646,42.36758736,170086
34,17,88,2139150,2.270808803,42.35837585,170088
35,17,90,2138717,2.294123057,42.35840468,170090
36,17,92,2139418,2.441189105,42.35957603,170092
37,17,95,2140707,2.294796381,42.34814193,170095
38,17,96,2139771,2.367962839,42.35011764,170096
39,17,100,2141618,2.307493504,42.34061821,170100
40,17,101,2136816,2.355264043,42.34050051,170101
41,17,102,2141286,2.40379522,42.34080816,170102
42,17,103,2139457,2.440452317,42.34133514,170103
43,17,106,2130578,2.743992558,42.41385072,170106
44,17,108,2464889,2.792436717,42.41410177,170108
45,17,112,2465553,2.731144983,42.40555379,170112
46,17,113,2464450,2.743603566,42.40491589,170113
47,17,118,2133332,2.682839083,42.39610009,170118
48,17,119,2133540,2.694685083,42.39622231,170119
49,17,120,2464449,2.706897405,42.39596599,170120
50,17,121,2132873,2.731914173,42.3961443,170121
51,17,125,2132556,2.779615307,42.39648908,170125
52,17,130,2134114,2.718565537,42.38695316,170130
53,17,131,2134114,2.731683082,42.38764205,170131
54,17,133,2464395,2.780145062,42.38743902,170133
55,17,137,2465578,2.670604088,42.37743208,170137
56,17,139,2135928,2.695586926,42.37805951,170139
57,17,140,2136112,2.707575662,42.37810873,170140
58,17,141,2135106,2.719922204,42.37691473,170141
59,17,143,2449892,2.743870609,42.37809649,170143
60,17,146,2464395,2.78001854,42.37844173,170146
61,17,147,2484991,2.792348277,42.37826659,170147
62,17,149,2137566,2.682757741,42.36882053,170149
63,17,150,2137566,2.6961294,42.36883874,170150
64,17,152,2136660,2.719738284,42.36910602,170152
65,17,155,2464403,2.755287494,42.36901629,170155
66,17,157,2464785,2.804912182,42.36912948,170157
67,17,158,2137566,2.683542698,42.36003277,170158
68,17,161,2138927,2.73220109,42.36008469,170161
69,17,162,2138859,2.743871499,42.35994024,170162
70,17,164,2464391,2.768182904,42.35984787,170164
71,17,165,2464427,2.78041151,42.35978188,170165
72,17,166,2138981,2.792152702,42.36021805,170166
73,17,168,2451740,2.58602896,42.35113035,170168
74,17,169,2467222,2.597820814,42.34886676,170169
75,17,172,2464455,2.755989086,42.35091554,170172
76,17,177,2140204,2.561144497,42.34154538,170177
77,17,178,2140204,2.57330811,42.34161831,170178
78,17,180,2451700,2.610540138,42.34175982,170180
79,17,181,2467894,2.622328637,42.34164615,170181
80,17,185,2449822,2.696113422,42.34191047,170185
