name;addresses_road_name;addresses_neighborhood_name;addresses_district_name;addresses_zip_code;url;imatge;geometry/type;geometry/coordinates_0;geometry/coordinates_1;coord0;coord01
Margalló de la pl. del Dr. Letamendi;" Plaça del Doctor Letamendi, 7";l'Antiga Esquerra de l'Eixample;Eixample;08007;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/margallo-de-la-pl-del-dr-letamendi_99400455057.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/99400455057-arbrespalmereschamaeropshumiliseixampleg4%5B1%5D.jpg;Point;429833.179;4582257.184;42.9833179;45.82257184
Lledoner de la  Plaça Sagrada Família;" Plaça de la Sagrada Família,9999";la Sagrada Família;Eixample;08013;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbre-d-interes-local-lledoner-pl-sagrada-familia_99400455067.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610141114240057-02-94_1.optimized.72d04a90.jpg;Point;430856.7427;4583829.391;43.08567427;45.83829391
Livistona de la  Plaça Major de Nou Barris;Carrer del Doctor Pi i Molist,131;la Guineueta;Nou Barris;08042;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbre-d-interes-local-livistona-d-australia-consell-municipal-del-districte-de-nou-barris_99400455069.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610121312070088-08-94_1.optimized.d2db2627.jpg;Point;430710.4923;4587548.74;43.07104923;45.875487400000004
Livistones xineses de l'Ateneu Barcelonès;Pl Vila de Madrid,11;el Barri Gòtic;Ciutat Vella;08002;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbre-d-interes-local-livistona-de-la-xina-c-canuda-6-pati-de-l-ateneu-barcelones_99400455070.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610201232530031-01-93_1.optimized.cdd93efb.jpg;Point;430745.6142;4581753.662;43.07456142;45.81753662
Ginkgo dels jardins de Moss¤n Cinto Verdaguer;Carrer del Doctor Font i Quer,17;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbre-d-interes-local-ginkgo-jardins-de-mossen-cinto-verdaguer_99400455074.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061326180139-03-98_1.optimized.69a9fd26.jpg;Point;430130.5809;4579877.206;43.01305809;45.798772060000005
Ginjoler dels jardins Joan Maragall;Passeig de Santa Madrona,7;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbre-d-interes-local-ginjoler-jardins-de-joan-maragall_99400455075.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061346570138-03-98_1.optimized.4a70b0da.jpg;Point;429447.6372;4579903.676;42.94476372;45.79903676
Alzina dels jardins de Bacardí;Travessera de les Corts,118;la Maternitat i Sant Ramon;Les Corts;08028;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbre-d-interes-local-alzina-jardins-de-bacardi_99400455080.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610161509180063-04-94_11.optimized.746606c6.jpg;Point;426901.3197;4581330.094;42.690131969999996;45.81330094
Freixe de fulla estreta del Jardí Botànic Històric;Avinguda dels Montanyans,30;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/freixe-de-fulla-estreta-del-jardi-botanic-historic_99400637941.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201910041336470171-03-15_1.optimized.055071e8.jpg;Point;429085.5058;4579830.932;42.908550579999996;45.79830932
Garrofer de Can Miralletes;Carrer de Sant Antoni Maria Claret,310;el Camp de l'Arpa del Clot;Sant Martí;08041;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/garrofer-de-can-miralletes_99400637944.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201910041332170172-10-16_1.optimized.b8722835.jpg;Point;431352.7976;4585071.603;43.135279759999996;45.85071603
Plàtan de la  Plaça Catalunya - Fontanella;Carrer de Fontanella,1;la Dreta de l'Eixample;Eixample;08010;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/platan-de-la-placa-catalunya-fontanella_99400638002.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201910041255250177-02-17_1.optimized.17a30866.jpg;Point;430742.4913;4582038.769;43.07424913;45.820387690000004
Tipuanes de la  Plaça Sant Felip Neri;Pl Sant Felip Neri,4;el Barri Gòtic;Ciutat Vella;08002;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/tipuanes-de-la-placa-sant-felip-neri_99400454937.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610200947590021-01-93_1.optimized.5c8de578.jpg;Point;431027.5645;4581655.377;43.10275645;45.816553770000006
Tilúlers de la Rambla Catalunya;Rambla de Catalunya,70;la Dreta de l'Eixample;Eixample;08007;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/til-lers-de-la-rambla-catalunya_99400454942.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/2016%2C10%2C20085235%2C0105-02-96_ROY_6-7182-760x428.jpg;Point;430008.9446;4582565.017;43.00089446;45.82565017
