Day;Station;Absolute_level;Percentage_volume_stored;volume_stored;County;River_basin;Province;lat;long;Group;Uncertainty;MeanLong;MeanLong
2024-12-31T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.33;17.7;10.81;Alt Empordà;Riu Muga;Girona;42.3461727;2.7714115;XX;0.0039407063664609575;2.7730615000000003;42.3466727
2024-12-31T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.81;35.2;28.18;Solsonès;Riu Cardener;Lleida;42.1189975;1.5883915;YY;0.0003628590176170624;1.5883415;42.118747500000005
2024-12-31T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona;41.254525;0.9128953;ZZ;0.0003902990306592777;0.9126853;41.254475
2024-12-31T00:00:00.000;Reservoir of Susqueda (Osor);316.23;36.6;85.21;La Selva;Riu Ter;Girona;41.9787375;2.4528494;AA;0.00010341394705034961;2.452817733333333;41.978719166666664
2025-01-01T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.32;17.7;10.8;Alt Empordà;Riu Muga;Girona;42.3471727;2.7714115;XX;0.0039407063664609575;2.7730615000000003;42.3466727
2025-01-01T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.27;96;3.59;Alt Penedès;Riu Foix;Barcelona;41.2558333;1.6496473;BB;0.0001596997182217202;1.6495473;41.2558573
2025-01-01T00:00:00.000;Reservoir of la Baells (Cercs);615.62;59.3;64.86;Berguedà;Riu Llobregat;Barcelona;42.1488357;1.8544644;CC;0.00008997777503318473;1.8545243999999996;42.1488177
2025-01-01T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.79;35.2;28.16;Solsonès;Riu Cardener;Lleida;42.1179975;1.5883915;YY;0.0003628590176170624;1.5883415;42.118747500000005
2025-01-01T00:00:00.000;Reservoir of Riudecanyes;205.19;23.2;1.24;Baix Camp;Riera Riudecanyes;Tarragona;41.1376002;0.9312787;DD;0.000019798989873514532;0.9312767000000001;41.1376182
2025-01-01T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.76;50.7;12.35;Solsonàs;Riu Cardener;Lleida;41.982852;1.570083;EE;0.000001788854381058258;1.5700832000000002;41.982853399999996
2025-01-01T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.81;15.6;25.76;Osona;Riu Ter;Barcelona;41.9764571;2.3690189;FF;0.000008337865434244848;2.3690227;41.97645630000001
2025-01-01T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona;41.254525;0.9118953;ZZ;0.0003902990306592777;0.9126853;41.254475
2025-01-01T00:00:00.000;Reservoir of Susqueda (Osor);316.13;36.5;84.95;La Selva;Riu Ter;Girona;41.9786375;2.4528494;AA;0.00010341394705034961;2.452817733333333;41.978719166666664
2025-01-02T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.32;17.7;10.8;Alt Empordà;Riu Muga;Girona;42.3491727;2.7714115;XX;0.0039407063664609575;2.7730615000000003;42.3466727
2025-01-02T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.25;95.7;3.58;Alt Penedès;Riu Foix;Barcelona;41.2558333;1.6495473;BB;0.0001596997182217202;1.6495473;41.2558573
2025-01-02T00:00:00.000;Reservoir of la Baells (Cercs);615.58;59.2;64.77;Berguedà;Riu Llobregat;Barcelona;42.1488357;1.8545644;CC;0.00008997777503318473;1.8545243999999996;42.1488177
2025-01-02T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.78;35.2;28.13;Solsonès;Riu Cardener;Lleida;42.1189975;1.5882915;YY;0.0003628590176170624;1.5883415;42.118747500000005
2025-01-02T00:00:00.000;Reservoir of Riudecanyes;205.2;23.2;1.24;Baix Camp;Riera Riudecanyes;Tarragona;41.1376102;0.9312787;DD;0.000019798989873514532;0.9312767000000001;41.1376182
