Id;Name;Description;Variable name;Variable name definition URI;Thematic uncertainty threshold;Thematic uncertainty goal;Thematic uncertainty unit of measure;Update frequency threshold;Update frequency threshold unit of measure;Update frequency goal;Update frequency goal unit of measure;Even distribution;Coordinated measure;Horizontal resolution threshold;Horizontal resolution goal;Horizontal resolution unit of measure;Vertical resolution threshold;Vertical resolution goal;Vertical resolution unit of measure;Partial matching dataset;Reason partial matching;Need id;Variable classes-new;Timeliness threshold;Timeliness threshold unit of measure;Timeliness goal;Timeliness goal unit of measure;Data accesses;Completely matching dataset;Citizen science acceptance
25;Climate variables;"Consistent climate data from across elevational gradients ";Precipitation;https://gcos.wmo.int/en/essential-climate-variables/precipitation;20;0;%;24;month;1;hour;1;Air temperature, wind-speed, SWE, species presence;500;0;m;300;200;m;https://comunidad.eia.edu.co/blog/poleka-kasue-observatorio-socio-ecologico-de-montana/;Limited the coverage of all variables, limited access to in-situ data due to policies of governments in different countries, lack of standards (many different formats);31;Atmosphere (ECV);;;;;;;
25;Climate variables;"Consistent climate data from across elevational gradients ";Precipitation;https://gcos.wmo.int/en/essential-climate-variables/precipitation;20;0;%;24;month;1;hour;1;Air temperature, wind-speed, SWE, species presence;500;0;m;300;200;m;https://comunidad.eia.edu.co/blog/poleka-kasue-observatorio-socio-ecologico-de-montana/;Limited the coverage of all variables, limited access to in-situ data due to policies of governments in different countries, lack of standards (many different formats);31;" Terrestrial (ECV)";;;;;;;
25;Climate variables;"Consistent climate data from across elevational gradients ";Precipitation;https://gcos.wmo.int/en/essential-climate-variables/precipitation;20;0;%;24;month;1;hour;1;Air temperature, wind-speed, SWE, species presence;500;0;m;300;200;m;https://comunidad.eia.edu.co/blog/poleka-kasue-observatorio-socio-ecologico-de-montana/;Limited the coverage of all variables, limited access to in-situ data due to policies of governments in different countries, lack of standards (many different formats);31;" Water (EWV)";;;;;;;
26;Harmonize in-situ data;Harmonize in-situ data for crop land or crop type mapping;Crop Type Masks;https://agvariables.org/eav/crop-type-masks;100;95;%;6;year;3;month;1;Phenology, stage of the crop, crop management (e.g., irrigation);40;20;m;;;;10.5281/zenodo.7609546 10.5281/zenodo.7609500 10.5281/zenodo.7593734;No well-searchable, no cloud service (only downloadble through zenodo);32;Agriculture (EAV);;;;;;;
27;SOC stocks in the topsoil (to 30 cm depth);SOC stocks in the topsoil (to 30 cm depth);Soil Carbon;https://gcos.wmo.int/en/essential-climate-variables/soil-carbon;5;0;%;4;year;0;year;1;land management for carbon change factors;30;0;m;;;;gsoc  https://www.fao.org/soils-portal/data-hub/soil-maps-and-databases/global-soil-organic-carbon-map-gsocmap/en/;No updatable, methods can be improved;33;Terrestrial (ECV);;;;;;;
28;Fish consumption;Presence of mercury in fish consumption;Socioeconomic;;100;20;%;1;year;1;year;1;Age of the fish (age or dimention of the fish);100;10;km;;;;FAO database;Lacks information about the origin (the location) of the fish;34;Ocean (ECV & EOV);5;month;1;month;;;
30;Citizen science data;Visual assessment of wildfires;Drought;https://gcos.wmo.int/en/essential-climate-variables;;;;1;month;;;No, it isn't;Precipitation, Temperature;100;;m;;;;;;35;Terrestrial (ECV);1;month;;;Cloud Service;;
80;Biomass;Let me turn it around, since we provide in-situ data, we would be interested in how would the in-situ community need a certain EO product, in this case biomass.;Above-ground Biomass;https://gcos.wmo.int/en/essential-climate-variables/biomass;10;;mg/ha;12;week;;;;;1;;m;;;;;;87;Terrestrial (ECV);1;week;;;Download Service (OGC);;
81;Phenology;Observed planting, flowering, maturity and harvest of a specific crop;Phenology;https://geobon.org/ebvs/what-are-ebvs/#Phenology;5;1;day;1;year;;;;;;;;;;;;;88;Biodiversity (EBV);;;;;View and Download Service (OGC);;
82;Chemical composition in European cities;Long-term trends, seasonal variability, daily resolution;Air Quality;;;;;1;day;;;;;;;;;;;ACTRIS ESFRIs (actually the consortium, as in principle ACTRIS was more based on remote sites);Discoverability and accessibility .. to be aware what exists out there.;89;Atmosphere (ECV);;;;;Download Service (OGC);;
83;Water quality and quantity data in Estonia, Europe, Globe;Every possible kind of continues of discontinues water quality and quantity datasets;Nutrients, dissolved oxygen, DOC, Chl, water temperature, temperature profiles, pCO2, global irradiance, wind, humidity, flow rates, land cover and its changes, ect;;;;;1;month;;;;;1000;100;m;1000;100;m;There are many available through the data providers, but almost nothing openly available for downloading. At the same time, many parameters should not be also shared without additional knowledge about the studied systems;Never not enough data available;90;Water (EWV);1;year;;;Download Service (OGC);;
