Day;Station;Absolute_level;Percentage_volume_stored;volume_stored;County;River_basin;Province
2024-12-31T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.33;17.7;10.81;Alt Empord…;Riu Muga;Girona
2024-12-31T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.81;35.2;28.18;SolsonŠs;Riu Cardener;Lleida 
2024-12-31T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona
2024-12-31T00:00:00.000;Reservoir of Susqueda (Osor);316.23;36.6;85.21;La Selva;Riu Ter;Girona
2025-01-01T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.32;17.7;10.8;Alt Empord…;Riu Muga;Girona
2025-01-01T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.27;96;3.59;Alt Pened‚s;Riu Foix;Barcelona
2025-01-01T00:00:00.000;Reservoir of la Baells (Cercs);615.62;59.3;64.86;Bergued…;Riu Llobregat;Barcelona
2025-01-01T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.79;35.2;28.16;SolsonŠs;Riu Cardener;Lleida 
2025-01-01T00:00:00.000;Reservoir of Riudecanyes;205.19;23.2;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-01T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.76;50.7;12.35;SolsonŠs;Riu Cardener;Lleida 
2025-01-01T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.81;15.6;25.76;Osona;Riu Ter;Barcelona
2025-01-01T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-01T00:00:00.000;Reservoir of Susqueda (Osor);316.13;36.5;84.95;La Selva;Riu Ter;Girona
2025-01-02T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.32;17.7;10.8;Alt Empord…;Riu Muga;Girona
2025-01-02T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.25;95.7;3.58;Alt Pened‚s;Riu Foix;Barcelona
2025-01-02T00:00:00.000;Reservoir of la Baells (Cercs);615.58;59.2;64.77;Bergued…;Riu Llobregat;Barcelona
2025-01-02T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.78;35.2;28.13;SolsonŠs;Riu Cardener;Lleida 
2025-01-02T00:00:00.000;Reservoir of Riudecanyes;205.2;23.2;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-02T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.78;50.8;12.38;SolsonŠs;Riu Cardener;Lleida 
2025-01-02T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.86;15.6;25.85;Osona;Riu Ter;Barcelona
2025-01-02T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-02T00:00:00.000;Reservoir of Susqueda (Osor);316.04;36.3;84.68;La Selva;Riu Ter;Girona
2025-01-03T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.31;17.7;10.79;Alt Empord…;Riu Muga;Girona
2025-01-03T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.23;95.4;3.57;Alt Pened‚s;Riu Foix;Barcelona
2025-01-03T00:00:00.000;Reservoir of la Baells (Cercs);615.54;59.1;64.66;Bergued…;Riu Llobregat;Barcelona
2025-01-03T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.76;35.1;28.12;SolsonŠs;Riu Cardener;Lleida 
2025-01-03T00:00:00.000;Reservoir of Riudecanyes;205.21;23.3;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-03T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.81;50.9;12.4;SolsonŠs;Riu Cardener;Lleida 
2025-01-03T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.83;15.6;25.79;Osona;Riu Ter;Barcelona
2025-01-03T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-03T00:00:00.000;Reservoir of Susqueda (Osor);316;36.3;84.57;La Selva;Riu Ter;Girona
2025-01-04T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.3;17.6;10.77;Alt Empord…;Riu Muga;Girona
2025-01-04T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.22;95.2;3.56;Alt Pened‚s;Riu Foix;Barcelona
2025-01-04T00:00:00.000;Reservoir of la Baells (Cercs);615.5;59;64.55;Bergued…;Riu Llobregat;Barcelona
2025-01-04T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.75;35.1;28.09;SolsonŠs;Riu Cardener;Lleida 
2025-01-04T00:00:00.000;Reservoir of Riudecanyes;205.21;23.3;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-04T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.83;51;12.42;SolsonŠs;Riu Cardener;Lleida 
2025-01-04T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.71;15.5;25.55;Osona;Riu Ter;Barcelona
2025-01-04T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-04T00:00:00.000;Reservoir of Susqueda (Osor);316.01;36.3;84.62;La Selva;Riu Ter;Girona
2025-01-05T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.28;17.6;10.75;Alt Empord…;Riu Muga;Girona
2025-01-05T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.22;95.2;3.56;Alt Pened‚s;Riu Foix;Barcelona
2025-01-05T00:00:00.000;Reservoir of la Baells (Cercs);615.46;58.9;64.45;Bergued…;Riu Llobregat;Barcelona
2025-01-05T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.73;35.1;28.07;SolsonŠs;Riu Cardener;Lleida 
2025-01-05T00:00:00.000;Reservoir of Riudecanyes;205.22;23.3;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-05T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.86;51.1;12.45;SolsonŠs;Riu Cardener;Lleida 
2025-01-05T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.61;15.3;25.35;Osona;Riu Ter;Barcelona
2025-01-05T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-05T00:00:00.000;Reservoir of Susqueda (Osor);316.05;36.4;84.72;La Selva;Riu Ter;Girona
2025-01-06T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.27;17.6;10.74;Alt Empord…;Riu Muga;Girona
2025-01-06T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.21;95;3.55;Alt Pened‚s;Riu Foix;Barcelona
2025-01-06T00:00:00.000;Reservoir of la Baells (Cercs);615.41;58.8;64.32;Bergued…;Riu Llobregat;Barcelona
2025-01-06T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.71;35.1;28.05;SolsonŠs;Riu Cardener;Lleida 
2025-01-06T00:00:00.000;Reservoir of Riudecanyes;205.23;23.3;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-06T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.89;51.2;12.47;SolsonŠs;Riu Cardener;Lleida 
2025-01-06T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.5;15.2;25.14;Osona;Riu Ter;Barcelona
2025-01-06T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-06T00:00:00.000;Reservoir of Susqueda (Osor);316.09;36.4;84.84;La Selva;Riu Ter;Girona
2025-01-07T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.25;17.5;10.72;Alt Empord…;Riu Muga;Girona
2025-01-07T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.19;94.6;3.54;Alt Pened‚s;Riu Foix;Barcelona
2025-01-07T00:00:00.000;Reservoir of la Baells (Cercs);615.35;58.6;64.18;Bergued…;Riu Llobregat;Barcelona
2025-01-07T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.69;35;28.03;SolsonŠs;Riu Cardener;Lleida 
2025-01-07T00:00:00.000;Reservoir of Riudecanyes;205.23;23.4;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-07T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.91;51.3;12.5;SolsonŠs;Riu Cardener;Lleida 
2025-01-07T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.36;15;24.86;Osona;Riu Ter;Barcelona
2025-01-07T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-07T00:00:00.000;Reservoir of Susqueda (Osor);316.13;36.5;84.93;La Selva;Riu Ter;Girona
2025-01-08T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.24;17.5;10.71;Alt Empord…;Riu Muga;Girona
2025-01-08T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.16;94.1;3.52;Alt Pened‚s;Riu Foix;Barcelona
2025-01-08T00:00:00.000;Reservoir of la Baells (Cercs);615.3;58.5;64.04;Bergued…;Riu Llobregat;Barcelona
2025-01-08T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.67;35;28;SolsonŠs;Riu Cardener;Lleida 
2025-01-08T00:00:00.000;Reservoir of Riudecanyes;205.24;23.4;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-08T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.94;51.4;12.52;SolsonŠs;Riu Cardener;Lleida 
2025-01-08T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.14;14.8;24.42;Osona;Riu Ter;Barcelona
2025-01-08T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-08T00:00:00.000;Reservoir of Susqueda (Osor);316.18;36.5;85.09;La Selva;Riu Ter;Girona
2025-01-09T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.23;17.5;10.7;Alt Empord…;Riu Muga;Girona
2025-01-09T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.15;93.9;3.51;Alt Pened‚s;Riu Foix;Barcelona
2025-01-09T00:00:00.000;Reservoir of la Baells (Cercs);615.24;58.4;63.9;Bergued…;Riu Llobregat;Barcelona
2025-01-09T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.65;35;27.97;SolsonŠs;Riu Cardener;Lleida 
2025-01-09T00:00:00.000;Reservoir of Riudecanyes;205.24;23.4;1.24;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-09T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.96;51.5;12.55;SolsonŠs;Riu Cardener;Lleida 
2025-01-09T00:00:00.000;Reservoir of Sau (Vilanova de Sau);386.94;14.5;24.01;Osona;Riu Ter;Barcelona
2025-01-09T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-09T00:00:00.000;Reservoir of Susqueda (Osor);316.22;36.6;85.19;La Selva;Riu Ter;Girona
2025-01-10T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.2;17.5;10.67;Alt Empord…;Riu Muga;Girona
2025-01-10T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.14;93.8;3.51;Alt Pened‚s;Riu Foix;Barcelona
2025-01-10T00:00:00.000;Reservoir of la Baells (Cercs);615.19;58.3;63.76;Bergued…;Riu Llobregat;Barcelona
2025-01-10T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.63;34.9;27.94;SolsonŠs;Riu Cardener;Lleida 
2025-01-10T00:00:00.000;Reservoir of Riudecanyes;205.25;23.4;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-10T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);519.99;51.6;12.57;SolsonŠs;Riu Cardener;Lleida 
2025-01-10T00:00:00.000;Reservoir of Sau (Vilanova de Sau);386.7;14.2;23.53;Osona;Riu Ter;Barcelona
2025-01-10T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-10T00:00:00.000;Reservoir of Susqueda (Osor);316.32;36.7;85.48;La Selva;Riu Ter;Girona
2025-01-11T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.19;17.4;10.66;Alt Empord…;Riu Muga;Girona
2025-01-11T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.13;93.6;3.5;Alt Pened‚s;Riu Foix;Barcelona
2025-01-11T00:00:00.000;Reservoir of la Baells (Cercs);615.13;58.1;63.62;Bergued…;Riu Llobregat;Barcelona
2025-01-11T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.61;34.9;27.92;SolsonŠs;Riu Cardener;Lleida 
2025-01-11T00:00:00.000;Reservoir of Riudecanyes;205.26;23.4;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-11T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.01;51.7;12.59;SolsonŠs;Riu Cardener;Lleida 
2025-01-11T00:00:00.000;Reservoir of Sau (Vilanova de Sau);386.4;13.9;22.94;Osona;Riu Ter;Barcelona
2025-01-11T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-11T00:00:00.000;Reservoir of Susqueda (Osor);316.48;36.9;85.91;La Selva;Riu Ter;Girona
2025-01-12T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.17;17.4;10.63;Alt Empord…;Riu Muga;Girona
2025-01-12T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.13;93.6;3.5;Alt Pened‚s;Riu Foix;Barcelona
2025-01-12T00:00:00.000;Reservoir of la Baells (Cercs);615.08;58;63.47;Bergued…;Riu Llobregat;Barcelona
2025-01-12T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.58;34.9;27.89;SolsonŠs;Riu Cardener;Lleida 
2025-01-12T00:00:00.000;Reservoir of Riudecanyes;205.26;23.4;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-12T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.03;51.7;12.62;SolsonŠs;Riu Cardener;Lleida 
2025-01-12T00:00:00.000;Reservoir of Sau (Vilanova de Sau);386.08;13.5;22.33;Osona;Riu Ter;Barcelona
2025-01-12T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.17;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-12T00:00:00.000;Reservoir of Susqueda (Osor);316.63;37.1;86.35;La Selva;Riu Ter;Girona
2025-01-13T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.15;17.4;10.61;Alt Empord…;Riu Muga;Girona
2025-01-13T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.12;93.5;3.5;Alt Pened‚s;Riu Foix;Barcelona
2025-01-13T00:00:00.000;Reservoir of la Baells (Cercs);615.02;57.9;63.32;Bergued…;Riu Llobregat;Barcelona
2025-01-13T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.56;34.8;27.86;SolsonŠs;Riu Cardener;Lleida 
2025-01-13T00:00:00.000;Reservoir of Riudecanyes;205.26;23.4;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-13T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.05;51.8;12.63;SolsonŠs;Riu Cardener;Lleida 
2025-01-13T00:00:00.000;Reservoir of Sau (Vilanova de Sau);385.77;13.1;21.73;Osona;Riu Ter;Barcelona
