Date_ISO,Taxonomic_Group_No,Bird_Species_Observed,Observer_ID
2026-05-15,1,Parus major,1
2026-05-15,1,Parus major,2
2026-05-15,1,Parus major,3
2026-05-15,1,Parus major,4
2026-05-15,1,Parus caeruleus,5
2026-05-15,1,Parus caeruleus,6
2026-05-15,1,Parus caeruleus,7
2026-05-15,2,Phylloscopus collybita,1
2026-05-15,2,Phylloscopus collybita,2
2026-05-15,2,Phylloscopus collybita,3
2026-05-15,2,Phylloscopus collybita,4
2026-05-15,2,Phylloscopus trochilus,5
2026-05-15,2,Phylloscopus trochilus,6
2026-05-15,2,Phylloscopus trochilus,7
2026-05-15,3,Motacilla alba,1
2026-05-15,3,Motacilla alba,2
2026-05-15,3,Motacilla alba,3
2026-05-15,3,Motacilla alba,4
