Day;Station;Absolute_level;Percentage_volume_stored;volume_stored;County;River_basin;Province
2024-12-31T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.33;17.7;10.81;Alt Empordà;Riu Muga;Girona
2024-12-31T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.81;35.2;28.18;Solsonès;Riu Cardener;Lleida 
2024-12-31T00:00:00.000;Reservoir of Susqueda (Osor);316.23;36.6;85.21;La Selva;Riu Ter;Girona

2025-01-01T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.32;17.7;10.8;Alt Empordà;Riu Muga;Girona
2025-01-01T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.27;102;3.59;Alt Penedès;Riu Foix;Barcelona
2025-01-01T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.79;35.2;28.16;Solsonès;Riu Cardener;Lleida 
2025-01-01T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.76;50.7;12.35;Solsonès;Riu Cardener;Lleida 
2025-01-01T00:00:00.000;Reservoir of Susqueda (Osor);316.13;36.5;84.95;La Selva;Riu Ter;Girona

2025-01-02T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.32;17.7;10.8;Alt Empordà;Riu Muga;Girona
2025-01-02T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.25;103.5;3.58;Alt Penedès;Riu Foix;Barcelona
2025-01-02T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.78;35.2;28.13;Solsonès;Riu Cardener;Lleida 
2025-01-02T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.78;50.8;12.38;Solsonès;Riu Cardener;Lleida 
2025-01-02T00:00:00.000;Reservoir of Susqueda (Osor);316.04;36.3;84.68;La Selva;Riu Ter;Girona

2025-01-03T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.31;17.7;10.79;Alt Empordà;Riu Muga;Girona
2025-01-03T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.23;104.2;3.57;Alt Penedès;Riu Foix;Barcelona
2025-01-03T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.76;35.1;28.12;Solsonès;Riu Cardener;Lleida 
2025-01-03T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.81;50.9;12.4;Solsonès;Riu Cardener;Lleida 
2025-01-03T00:00:00.000;Reservoir of Susqueda (Osor);316;36.3;84.57;La Selva;Riu Ter;Girona

2025-01-04T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.3;17.6;10.77;Alt Empordà;Riu Muga;Girona
2025-01-04T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.22;101.8;3.56;Alt Penedès;Riu Foix;Barcelona
2025-01-04T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.75;35.1;28.09;Solsonès;Riu Cardener;Lleida 
2025-01-04T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.83;51;12.42;Solsonès;Riu Cardener;Lleida 
2025-01-04T00:00:00.000;Reservoir of Susqueda (Osor);316.01;36.3;84.62;La Selva;Riu Ter;Girona

2025-01-05T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.28;17.6;10.75;Alt Empordà;Riu Muga;Girona
2025-01-05T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.22;105;3.56;Alt Penedès;Riu Foix;Barcelona
2025-01-05T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.73;35.1;28.07;Solsonès;Riu Cardener;Lleida 
2025-01-05T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.86;51.1;12.45;Solsonès;Riu Cardener;Lleida 
2025-01-05T00:00:00.000;Reservoir of Susqueda (Osor);316.05;36.4;84.72;La Selva;Riu Ter;Girona
