dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2025-03-24T00:00:00.000;Embassament de Susqueda (Osor);321.54;43.3;100.98
2025-03-24T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);524.53;71;17.31
2025-03-24T00:00:00.000;Embassament de Darnius Boadella (Darnius);150.29;58;35.44
2025-03-24T00:00:00.000;Embassament de Sau (Vilanova de Sau);409.98;55.4;91.62
2025-03-24T00:00:00.000;Embassament de la Llosa del Cavall (Navès);788.46;49.3;39.45
2025-03-24T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);466.04;20.1;2.45
2025-03-24T00:00:00.000;Embassament de Riudecanyes;210.72;44.7;2.38
2025-03-24T00:00:00.000;Embassament de la Baells (Cercs);628.54;95.2;104.19
2025-03-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.54;100.8;3.77
2025-03-23T00:00:00.000;Embassament de la Baells (Cercs);627.67;92.4;101.13
2025-03-23T00:00:00.000;Embassament de Riudecanyes;210.33;42.8;2.28
2025-03-23T00:00:00.000;Embassament de Sau (Vilanova de Sau);408.54;51.9;85.76
2025-03-23T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);465.56;19.3;2.35
2025-03-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.55;101.1;3.78
2025-03-23T00:00:00.000;Embassament de Darnius Boadella (Darnius);149.82;56.1;34.26
2025-03-23T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);524.18;69.4;16.91
2025-03-23T00:00:00.000;Embassament de Susqueda (Osor);321.43;43.2;100.64
2025-03-23T00:00:00.000;Embassament de la Llosa del Cavall (Navès);787.89;48.1;38.49
2025-03-22T00:00:00.000;Embassament de Riudecanyes;209.92;40.8;2.17
2025-03-22T00:00:00.000;Embassament de Sau (Vilanova de Sau);407.15;48.6;80.35
2025-03-22T00:00:00.000;Embassament de Susqueda (Osor);321.26;43;100.1
2025-03-22T00:00:00.000;Embassament de Darnius Boadella (Darnius);149.24;53.7;32.83
2025-03-22T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);523.86;67.9;16.55
2025-03-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.56;101.2;3.78
2025-03-22T00:00:00.000;Embassament de la Baells (Cercs);626.66;89.3;97.69
2025-03-22T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);465.08;18.3;2.23
2025-03-22T00:00:00.000;Embassament de la Llosa del Cavall (Navès);787.25;46.8;37.46
2025-03-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.54;101;3.78
2025-03-21T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);464.5;17.1;2.09
2025-03-21T00:00:00.000;Embassament de la Baells (Cercs);625.33;85.2;93.22
2025-03-21T00:00:00.000;Embassament de Riudecanyes;209.48;38.8;2.06
2025-03-21T00:00:00.000;Embassament de Sau (Vilanova de Sau);405.54;45;74.4
2025-03-21T00:00:00.000;Embassament de la Llosa del Cavall (Navès);786.55;45.4;36.34
2025-03-21T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);523.53;66.4;16.19
2025-03-21T00:00:00.000;Embassament de Susqueda (Osor);320.94;42.5;99.12
2025-03-21T00:00:00.000;Embassament de Darnius Boadella (Darnius);147.96;48.8;29.81
2025-03-20T00:00:00.000;Embassament de Darnius Boadella (Darnius);146.65;44;26.89
2025-03-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.54;100.9;3.77
2025-03-20T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);464.05;16.2;1.98
2025-03-20T00:00:00.000;Embassament de Sau (Vilanova de Sau);404.22;42.2;69.72
2025-03-20T00:00:00.000;Embassament de la Llosa del Cavall (Navès);786.07;44.5;35.6
2025-03-20T00:00:00.000;Embassament de Susqueda (Osor);320.65;42.1;98.21
2025-03-20T00:00:00.000;Embassament de la Baells (Cercs);624.32;82.2;89.92
2025-03-20T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);523.32;65.5;15.96
2025-03-20T00:00:00.000;Embassament de Riudecanyes;209.1;37.2;1.98
2025-03-19T00:00:00.000;Embassament de Darnius Boadella (Darnius);144.9;38.3;23.39
2025-03-19T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);523.15;64.7;15.78
2025-03-19T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);463.63;15.4;1.88
2025-03-19T00:00:00.000;Embassament de la Llosa del Cavall (Navès);785.67;43.7;34.98
2025-03-19T00:00:00.000;Embassament de Sau (Vilanova de Sau);403.04;39.8;65.7
2025-03-19T00:00:00.000;Embassament de Susqueda (Osor);320.3;41.7;97.15
2025-03-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.53;100.7;3.77
2025-03-19T00:00:00.000;Embassament de la Baells (Cercs);623.22;79;86.45
2025-03-19T00:00:00.000;Embassament de Riudecanyes;208.79;35.9;1.91
2025-03-18T00:00:00.000;Embassament de Riudecanyes;208.6;35.2;1.87
2025-03-18T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);463.41;15;1.83
2025-03-18T00:00:00.000;Embassament de la Llosa del Cavall (Navès);785.39;43.2;34.55
2025-03-18T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);523;64;15.62
2025-03-18T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.53;100.6;3.76
2025-03-18T00:00:00.000;Embassament de Susqueda (Osor);320.27;41.7;97.07
2025-03-18T00:00:00.000;Embassament de Darnius Boadella (Darnius);144.45;36.9;22.52
