dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2024-06-26T00:00:00.000;Embassament de Darnius Boadella (Darnius);139;22.9;14
2024-06-26T00:00:00.000;Embassament de la Baells (Cercs);611.89;51;55.77
2024-06-26T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.37;67.5;2.52
2024-06-25T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.41;68;2.54
2024-06-25T00:00:00.000;Embassament de Darnius Boadella (Darnius);139.02;23;14.03
2024-06-25T00:00:00.000;Embassament de la Baells (Cercs);611.87;50.9;55.73
2024-06-24T00:00:00.000;Embassament de Darnius Boadella (Darnius);139.03;23;14.04
2024-06-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.44;68.4;2.56
2024-06-24T00:00:00.000;Embassament de la Baells (Cercs);611.83;50.8;55.63
2024-06-23T00:00:00.000;Embassament de la Baells (Cercs);611.78;50.7;55.52
2024-06-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.45;68.6;2.57
2024-06-23T00:00:00.000;Embassament de Darnius Boadella (Darnius);139.03;23;14.04
2024-06-22T00:00:00.000;Embassament de Darnius Boadella (Darnius);139.04;23;14.05
2024-06-22T00:00:00.000;Embassament de la Baells (Cercs);611.74;50.6;55.41
2024-06-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.47;68.8;2.57
2024-06-21T00:00:00.000;Embassament de Darnius Boadella (Darnius);139.03;23;14.04
2024-06-21T00:00:00.000;Embassament de la Baells (Cercs);611.67;50.5;55.25
2024-06-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.48;68.9;2.58
2024-06-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.49;69.1;2.58
2024-06-20T00:00:00.000;Embassament de la Baells (Cercs);611.57;50.3;55.03
2024-06-20T00:00:00.000;Embassament de Darnius Boadella (Darnius);139.02;23;14.03
2024-06-19T00:00:00.000;Embassament de Darnius Boadella (Darnius);139;22.9;14
2024-06-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.51;69.4;2.59
2024-06-19T00:00:00.000;Embassament de la Baells (Cercs);611.5;50.1;54.88
2024-06-18T00:00:00.000;Embassament de la Baells (Cercs);611.44;50;54.74
2024-06-18T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.54;69.8;2.61
2024-06-18T00:00:00.000;Embassament de Darnius Boadella (Darnius);139;22.9;14
2024-06-17T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.58;70.3;2.63
2024-06-17T00:00:00.000;Embassament de la Baells (Cercs);611.36;49.9;54.57
2024-06-17T00:00:00.000;Embassament de Darnius Boadella (Darnius);139;22.9;14
2024-06-16T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.59;70.5;2.64
2024-06-16T00:00:00.000;Embassament de la Baells (Cercs);611.27;49.7;54.35
2024-06-16T00:00:00.000;Embassament de Darnius Boadella (Darnius);139;22.9;13.99
2024-06-15T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.6;70.6;2.64
2024-06-15T00:00:00.000;Embassament de la Baells (Cercs);611.14;49.4;54.07
2024-06-15T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.99;22.9;13.99
2024-06-14T00:00:00.000;Embassament de la Baells (Cercs);610.98;49.1;53.71
2024-06-14T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.6;70.7;2.64
2024-06-14T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.97;22.8;13.96
2024-06-13T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.6;70.6;2.64
2024-06-13T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.94;22.8;13.91
2024-06-13T00:00:00.000;Embassament de la Baells (Cercs);610.74;48.6;53.18
2024-06-12T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.55;69.9;2.62
2024-06-12T00:00:00.000;Embassament de la Baells (Cercs);610.4;47.9;52.44
2024-06-12T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.91;22.7;13.89
2024-06-11T00:00:00.000;Embassament de la Baells (Cercs);610.28;47.7;52.16
2024-06-11T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.43;68.3;2.56
2024-06-11T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.91;22.7;13.88
2024-06-10T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.42;68.1;2.55
2024-06-10T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.88;22.7;13.84
2024-06-10T00:00:00.000;Embassament de la Baells (Cercs);610.22;47.5;52.03
2024-06-09T00:00:00.000;Embassament de la Baells (Cercs);610.17;47.4;51.92
2024-06-09T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.41;68;2.54
2024-06-09T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.88;22.7;13.84
2024-06-08T00:00:00.000;Embassament de la Baells (Cercs);610.11;47.3;51.8
2024-06-08T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.4;67.8;2.54
2024-06-08T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.87;22.6;13.83
2024-06-07T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.87;22.6;13.83
2024-06-07T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.43;68.3;2.56
2024-06-07T00:00:00.000;Embassament de la Baells (Cercs);610.05;47.2;51.66
2024-06-06T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.85;22.6;13.8
