scope;key;field;eng;cat;spa
STASpecialQueriesType;Type;singular;Complex query;Consulta complexa;Consulta compleja
STASpecialQueriesType;Type;plural;Complex queries;Consultes complexes;Consultas complejas
STASpecialQueries;ObsLayer;description;Observations Layer;Capa d'observacions;Observations Layer
STASpecialQueries;ObsLayer;help;Link to STAplus service to add a query to this url to obtain a table with phenomenomTime and results from Observations, unitsOfMeasurements and ObservedProperty from Datastreams and a description from the featureOfInterest related.;Enllaç a servei STAPlus per afegir una consulta a aquesta URL per obtenir una taula amb  phenomenomTime i els resultats de les Observations, unitsOfMeasurements i ObservedProperty des de Datastreams i una descripció de la featureOfInterest relacionada.;Enlace al servicio STAplus para agregar una consulta a esta url para obtener una tabla con  phenomenomTime y los resultados de Observations, unitsOfMeasurements y ObservedProperty des de Datastreams y a description from the featureOfInterest relacionados.
STAOperationsType;Type;singular;STA tool;Eina STA;Herramienta STA
STAOperationsType;Type;plural;STA tools;Eines STA;Herramientas STA
STAOperations;RecursiveExpandSTA;description;Recursive Expand;Expanció recursiva;Expansión recursiva
STAOperations;RecursiveExpandSTA;help;Gets a table by selecting some columns and adding columns by expanding the properties of linked entities recursively. Needs to be connected to a SensorThings API or a STAplus node.;Obté una taula seleccionant algunes columnes i afegint columnes expandint les propietats de les entitats enllaçades recursivament. Necessita estar connectat a un sensor SensorThings API o un node STAplus.;Consigue una tabla seleccionando algunas columnas y agregando columnas ampliando las propiedades de las entidades vinculadas recursivamente. Necesita conectarse a una API de SensorThings o a un nodo STAplus.
STAOperations;ExpandColumnSTA;description;Expand entity;Expandeix l'entitat;Expande la entidad
STAOperations;ExpandColumnSTA;help;Gets a table by adding columns resulting of the expansion of the properties of a linked entity. For example, in a Datastream add properties of ObservedProperties. Requeres to be connected to a SensorThings API or a STAplus node.;Obtén una taula afegint columnes resultants de l'expansió de les propietats d'una entitat enllaçada. Per exemple, en un Datastream afegiu les propietats de ObservedProperties. Requereix estar connectat a un SensorThings API o un node STAplus.;Obtén una tabla añadiendo columnas resultantes de la expansión de las propiedades de una entidad vinculada. Por ejemplo, en un Datastream añadir propiedades de ObservProperties. Requiere estar conectado a una API de SensorThings o a un nodo STAplus.
STAOperations;MergeExpandsSTA;description;Merge Expands;Fusiona les expancions;Fusiona las expansiones
STAOperations;MergeExpandsSTA;help;Gets a table by merging the fields of two branches originated as an expansion of the same entity. For example, in a Datastream node, a branch started by expanding ObservedProperties properties and a branch started by expanding Thing properties can be merged in a single branch by connecting the two branches as inputs to this node.;Obté una taula fusionant els camps de dues branques originades a partir de l’expansió de la mateixa entitat. Per exemple, en un node Datastream, una branca iniciada per l’expansió de les propietats d’ObservedProperties i una branca iniciada per l’expansió de les propietats de Thing es poden fusionar en una sola branca connectant les dues branques com a entrades d’aquest node.;Obtén una tabla fusionando los campos de dos ramas originadas a partir de la expansión de la misma entidad. Por ejemplo, en un nodo Datastream, una rama iniciada por la expansión de las propiedades de ObservedProperties y una rama iniciada por la expansión de las propiedades de Thing se pueden fusionar en una sola rama conectando ambas ramas como entradas de este nodo.
STAOperations;SelectColumnsSTA;description;Select Columns;Selecciona columnes;Seleccionar columnas
STAOperations;SelectColumnsSTA;help;Gets a table only with columns selected. Requeres to be connected to a SensorThings API or a STAplus node.;Obté una taula només amb les columnes seleccionades. Requereix per estar connectats a un SensorThings API o un node STP.;Consigue una tabla sólo con columnas seleccionadas. Requeres estar conectado a una API de SensorThings o a un nodo STAplus.
STAOperations;SelectRowSTA;description;Select Row;Selecciona fila;Seleccionar fila
STAOperations;SelectRowSTA;help;Gets a table only with the selected record. Requeres to be connected to another SensorThings API or a STAplus entity. A single record is required to related entities to this one and navegate the SensorThings API or a STAplus data model.;Agafa una taula només amb el registre seleccionat. Torna a estar connectat a un altre sensorThings API o una entitat STP. Es requereix un registre individual per a entitats relacionades amb aquesta i navega l' API del sensorThings o un model de dades STP.;Consigue una tabla sólo con el registro seleccionado. Requeres estar conectado a otra API de SensorThings o una entidad STAplus. Se requiere un único registro para entidades relacionadas con esta y navegar por la API de SensorThings o un modelo de datos STAplus.
STAOperations;SelectResourceSTA;description;Select Resource;Selecció de recurs;Seleccionar recursos
STAOperations;SelectResourceSTA;help;Gets a table only with the selected resource. Requeres to be connected to another SensorThings API or a STAplus entity. A single record is required to related entities to this one and navegate the SensorThings API or a STAplus data model.;Obté una taula només amb el recurs seleccionat. Torna a estar connectat a un altre sensorThings API o una entitat STP. Es requereix un registre individual per a entitats relacionades amb aquesta i navega l' API del sensorThings o un model de dades STP.;Consigue una tabla sólo con el recurso seleccionado. Requeres estar conectado a otra API de SensorThings o una entidad STAplus. Se requiere un único registro para entidades relacionadas con esta y navegar por la API de SensorThings o un modelo de datos STAplus.
STAOperations;FilterRowsSTA;description;Filter Rows;Files de filtre;Filtros
STAOperations;FilterRowsSTA;help;Gets a table with the records that match your conditions. Requires a connection to a SensorThings API or STAplus node. Double-click to open the filter dialog.;Agafa una taula amb els registres que concorden amb les vostres condicions. Requereix una connexió amb un sensorThings API o node STP. Doble clic per a obrir el diàleg de filtre.;Consigue una tabla con los registros que coinciden con sus condiciones. Requiere una conexión a una API de SensorThings o nodo STAplus. Haga doble clic para abrir el diálogo de filtro.
STAOperations;FilterRowsByTime;description;Filter Rows by time;Filtra files en el temps;Filtros por tiempo
STAOperations;FilterRowsByTime;help;Gets a table with records that match with a time interval. It is possible to group them by time periods. Requeres to be connected to a SensorThings API or a STAplus node.;Agafa una taula amb registres que coincideixin amb un interval de temps. És possible agrupar-los amb períodes de temps. Reques per estar connectats a un SensorThings API o un node STP.;Consigue una tabla con registros que coinciden con un intervalo de tiempo. Es posible agruparlos por períodos de tiempo. Requeres estar conectado a una API de SensorThings o a un nodo STAplus.
STAOperations;GeoFilterPolSTA;description;Filter Rows by Polygon;Filtra files per polígon;Filtros por Polygon
