scope;key;field;eng;cat;spa;revisat
DialogOpenURLNetwork;selectOption;option;-- Select an option--;-- Seleccioneu una opci¢--;-- Seleccione una opci¢n--;si
DialogConfiguration;percent;text;%;%;%;si
DialogImportJSONLD;forcesDuplicateGeom;text;(Forces to duplicate the geometry, if included);(Foráa la duplicaci¢ de la geometria, si s'inclou);(Fuerza la duplicaci¢n de la geometr°a, si se incluye);si
DialogGUF;mandatoryNote;text;(mandatory to add);(obligatori per afegir);(obligatorio para a§adir);si
DialogImportJSONLD;sometimesTooBig;text;(Sometimes is too big to be imported);(A vegades Çs massa gran per importar-lo);(A veces es demasiado grande para importarlo);si
clarification;entityDeleted;text;{0} {1} has been deleted.;{0} {1} s'ha suprimit.;{0} {1} se ha eliminado.;s
clarification;entityUpdated;text;{0} {1} updated.;{0} {1} s'ha actualitzat.;{0} {1} actualizado.;s
alert;paramRequiredGeneric;text;{0} parameter is required, please fill in the box before send;El parÖmetre {0} Çs obligatori, ompliu la casella abans d'enviar;El par†metro {0} es obligatorio, rellene la casilla antes de enviar;si
clarification;waitingSeconds;text;{0}. Waiting {1} seconds ...;{0}. Esperant {1} segons ...;{0}. Esperando {1} segundos ...;s
clarification;waitingForUpdates;text;{0}. Waiting for updates ...;{0}. Esperant actualitzacions ...;{0}. Esperando actualizaciones ...;s
DialogFormatConsistency;digit09;button;0?9;0?9;0?9;si
alert;radarNeedThreeCategories;text;A radar chart needs at least three categories. The selected column has {0} unique values.;Un grÖfic de radar necessita almenys tres categories. La columna seleccionada tÇ {0} valors £nics.;Un gr†fico de radar necesita al menos tres categor°as. La columna seleccionada tiene {0} valores £nicos.;si
DialogFormatConsistency;letterOrDigit;button;A/9;A/9;A/9;si
DialogS3Bucket;accessKey;label;Access Key:;Clau d'accÇs:;Clave de acceso:;si
chrome;add;button;Add;Afegeix;A§adir;si
DialogPivotTable;addColumn;button;Add a Column;Afegeix una columna;A§adir una columna;si
DialogPivotTable;addRow;button;Add a Row;Afegeix una fila;A§adir una fila;si
DialogPivotTable;addValue;button;Add a Value;Afegeix un valor;A§adir un valor;si
alert;addAtLeastOneCustomPatternPiece;text;Add at least one piece to the custom pattern.;Afegiu almenys una peáa al patr¢ personalitzat.;A§ada al menos una pieza al patr¢n personalizado.;si
alert;addSeriesWithCityOrValue;text;Add at least one series with an item or value column;Afegiu almenys una särie amb una columna d'elements o de valors.;Agregue al menos una serie con una columna de elementos o de valores;si
alert;addAtLeastOneSeries;text;Add at least one series.;Afegiu almenys una särie.;A§ada al menos una serie.;si
TableOperations;AddColumnBBox;description;Add BBox column;Afegeix una columna BBox;A§adir columna BBox;si
DialogDGGSCodesBbox;addCentroid;label;Add centroid coordinates;Afegeix les coordenades del centroide;A§adir las coordenadas del centroide;si
DialogCreateColumns;addColumnToList;button;Add column to list;Afegeix la columna a la llista;A§adir la columna a la lista;si
DialogAggregateColumns;addColumnToList;button;Add column to list;Afegeix la columna a la llista;A§adir la columna a la lista;si
DialogColumnsCalculator;addColumnToList;button;Add column to list;Afegeix la columna a la llista;A§adir la columna a la lista;si
DialogQualityMisclassificationMatrix;addColumns;title;Add columns to compare;Afegeix columnes per comparar;A§adir columnas para comparar;si
DialogGUF;addFeedback;button;Add feedback;Afegeix comentaris;A§adir comentarios;si
DialogUploadIC;addGeojsonNode;label;Add GeoJSON node to check the result;Afegeix un node GeoJSON per comprovar el resultat;A§adir un nodo GeoJSON para comprobar el resultado;si
DialogConfiguration;addGeolocationHeader;label;Add geolocation header;Afegeix la capáalera de geolocalitzaci¢;A§adir la cabecera de geolocalizaci¢n;si
DialogImportJSONLD;addGeometry;label;Add geometry;Afegeix geometria;A§adir geometr°a;si
DialogImportJSONLD;addObservations;label;Add observations;Afegeix observacions;A§adir observaciones;si
TableOperations;AddColumnPnt;description;Add point column;Afegeix una columna de punt;A§adir columna de punto;si
DialogJoinTables;addBoth;label;Add records from both tables;Afegeix els registres de les dues taules;A§adir los registros de ambas tablas;si
DialogJoinTables;addFirst;label;Add records of 1st table;Afegeix els registres de la 1a taula;A§adir los registros de la 1¶ tabla;si
DialogLink;addToGraph;label;Add to the graph;Afegeix al grÖfic;A§adir al gr†fico;si
clarification;addingGeojsonNode;text;Adding GeoJSON node with data uploaded;S'estÖ afegint un node GeoJSON amb les dades pujades;A§adiendo un nodo GeoJSON con los datos subidos;s
TableOperations;AddColumnBBox;help;Adds a new bounding box column to your table that is a format transformation of a preexisting bounding box column. The column can be a GeoJSON geometry (polygon), a Well Known Text (polygon), or four columns with longitude/latitude coordinates.;Afegeix a la vostra taula una nova columna de BBox (caixa envoltant) que Çs una transformaci¢ de format d'una columna de BBox preexistent. La columna pot ser una geometria GeoJSON (pol°gon), un Well Known Text (pol°gon) o quatre columnes amb coordenades de longitud/latitud.;A§ade a su tabla una nueva columna de BBox (caja envolvente) que es una transformaci¢n de formato de una columna de BBox preexistente. La columna puede ser una geometr°a GeoJSON (pol°gono), un Well Known Text (pol°gono) o cuatro columnas con coordenadas de longitud/latitud.;si
TableOperations;AggregateColumns;help;Adds a new column to a table with the aggregation of other previous selected columns.;Afegeix una nova columna a la taula amb l'agregaci¢ d'altres columnes seleccionades präviament.;A§ade una nueva columna a la tabla con la agregaci¢n de otras columnas seleccionadas previamente.;si
TableOperations;ColumnsCalculator;help;Adds a new column to your table where for each record the new column contains the result of an operation involving other column values of that record.;Afegeix una nova columna a la vostra taula on, per a cada registre, la nova columna contÇ el resultat d'una operaci¢ que utilitza altres valors de columna d'aquell registre.;A§ade una nueva columna a su tabla donde, para cada registro, la nueva columna contiene el resultado de una operaci¢n que utiliza otros valores de columna de ese registro.;si
TableOperations;CreateColumns;help;Adds a new column to your table. This column can be left empty, filled with a constant value or filled with an autoincremental value.;Afegeix una nova columna a la taula. Aquesta columna es pot deixar buida, omplir amb un valor constant o omplir amb un valor autoincremental.;A§ade una nueva columna a la tabla. Esta columna se puede dejar vac°a, rellenar con un valor constante o rellenar con un valor autoincremental.;si
TableOperations;AddColumnPnt;help;Adds a new point column to your table that is a format transformation of a preexisting point column. The column can be a GeoJSON geometry (point), a Well Known Text (point), DGGS (polygon zone), or a pair of longitude/latitude columns.;Afegeix a la vostra taula una nova columna de punt que Çs una transformaci¢ de format d'una columna de punt preexistent. La columna pot ser una geometria GeoJSON (punt), un Well Known Text (punt), DGGS (zona poligonal) o un parell de columnes de longitud/latitud.;A§ade a su tabla una nueva columna de punto que es una transformaci¢n de formato de una columna de punto preexistente. La columna puede ser una geometr°a GeoJSON (punto), un Well Known Text (punto), DGGS (zona poligonal) o un par de columnas de longitud/latitud.;si
TableOperations;AggregateColumns;description;Aggregate Columns;Agrega  columnes;Agrega columnas;si
DialogFilterRowsByTime;aggregateBy;label;Aggregate data by:;Agrega les dades per:;Agregar los datos por:;si
DialogGroupBy;aggregations;title;Aggregations:;Agregacions:;Agregaciones:;si
DialogAggregateColumns;aggregations;title;Aggregations:;Agregacions:;Agregaciones:;si
DialogOneValue;alertingValue;label;Alerting value (optional):;Valor d'alerta (opcional):;Valor de alerta (opcional):;si
DialogRadarPlot;all;label;All;Tot;Todo;si
DialogQualityTemporalQuality;allRecords;label;All records;Tots els registres;Todos los registros;si
DialogQualityPositionalQuality;allRecords;label;All records;Tots els registres;Todos los registros;si
DialogQualityThematicQuality;allRecords;label;All records;Tots els registres;Todos los registros;si
alert;xAxisSameType;text;All series in X axis has to have same type of data;Totes les säries de l'eix X han de contenir el mateix tipus de dades;Todas las series del eje X deben contener el mismo tipo de datos;si
dataQuality;positionalQuality;help;Allows calculating positional accuracy and positional validity;Permet calcular l'exactitud posicional i la validesa posicional;Permite calcular la exactitud posicional y la validez posicional;si
dataQuality;temporalQuality;help;Allows calculating temporal consistency, temporal validity and temporal resolution.;Permet calcular la consistäncia temporal, la validesa temporal i la resoluci¢ temporal.;Permite calcular la consistencia temporal, la validez temporal y la resoluci¢n temporal.;si
dataQuality;thematicQuality;help;Allows calculating thematic accuracy and thematic validity;Permet calcular l'exactitud temÖtica i la validesa temÖtica;Permite calcular la exactitud tem†tica y la validez tem†tica;si
